,variant1,variant2,variant3,variant4
192,0,pmcn,0,pnww
193,0,dctp,0,pnrn
194,0,dcrc,0,pnjs
195,0,dcps,0,pnpt
196,0,dctm,0,pnmp
197,0,dccm,0,pnzz
198,0,dcww,0,pnmw
199,0,dcrn,0,pnws
200,0,dcpt,0,pnzw
201,0,dcmp,0,pnmn
202,0,dctd,0,pnjr
203,0,dcmw,0,pnjm
204,0,dcws,0,pnrp
205,0,dccd,0,pnwr
206,0,dctt,0,pnwd
207,0,dcmn,0,pnjd
208,0,dcsp,0,pnrr
209,0,dcrp,0,pnpp
210,0,dcsm,0,pnjt
211,0,dcct,0,pnpn
212,0,dcwr,0,pnms
213,0,dcdm,0,pnjp
214,0,dcwd,0,pnjn
215,0,dcrr,0,pnzp
216,0,dctj,0,pnpm
217,0,dctc,0,pnjw
218,0,dcpp,0,pnjz
219,0,dcdc,0,pnpr
220,0,dctz,0,pnwt
221,0,dcpn,0,tsrn
222,0,dcwc,0,tssp
223,0,dcms,0,tsrp
224,0,dcpm,0,tssm
225,0,dccs,0,tsdm
226,0,dcdj,0,tsrr
227,0,dcts,0,tsdj
228,0,dcpr,0,tsdn
229,0,dcwt,0,rwww
230,0,dccn,0,rwjs
231,0,dcdn,0,rwmp
232,0,rsrc,0,rwmw
233,0,rsdc,0,rwws
234,0,dkps,0,rwmn
235,0,dkjs,0,rwjr
236,0,dkpt,0,rwjm
237,0,dkmp,0,rwwr
238,0,dkjk,0,rwwd
239,0,dkmw,0,rwjd
240,0,dkmn,0,rwjt
241,0,dkjr,0,rwms
242,0,dkjm,0,rwjp
243,0,dkdm,0,rwjn
244,0,dkjd,0,rwjw
245,0,dkkr,0,rwjz
246,0,dkpp,0,rwwt
247,0,dkkp,0,jrrn
248,0,dkkw,0,jrrp
249,0,dkjt,0,jrrr
250,0,dkpn,0,rttp
251,0,dkms,0,rtps
252,0,dkjp,0,rttm
253,0,dkjn,0,rtjs
254,0,dkpm,0,rtpt
255,0,dkkk,0,rtmp
256,0,dkjw,0,rtzz
257,0,dkdj,0,rttd
258,0,dkjz,0,rtmw
259,0,dkpr,0,rtzw
260,0,dkpk,0,rttt
261,0,dkdn,0,rtmn
262,0,ndtc,0,rtjr
263,0,rrrc,0,rtjm
264,0,nctp,0,rtsp
265,0,ncrc,0,rtsm
266,0,ncps,0,rtdm
267,0,nctm,0,rtjd
268,0,nccm,0,rttj
269,0,ncww,0,rtpp
270,0,ncrn,0,rttz
271,0,ncpt,0,rtjt
272,0,ncmp,0,rtpn
273,0,nctd,0,rtms
274,0,ncmw,0,rtjp
275,0,ncws,0,rtjn
276,0,nccd,0,rtzp
277,0,nctt,0,rtpm
278,0,ncmn,0,rtjw
279,0,ncsp,0,rtdj
280,0,ncrp,0,rtjz
281,0,ncsm,0,rtts
282,0,ncct,0,rtpr
283,0,ncwr,0,rtdn
284,0,ncdm,0,mpps
285,0,ncwd,0,mppt
286,0,ncrr,0,mpmp
287,0,nctj,0,mpmw
288,0,nctc,0,mpmn
289,0,ncpp,0,mpdm
290,0,ncdc,0,mppp
291,0,nctz,0,mppn
292,0,ncpn,0,mpms
293,0,ncwc,0,mppm
294,0,ncms,0,mpdj
295,0,ncpm,0,mppr
296,0,nccs,0,mpdn
297,0,ncdj,0,tjtp
298,0,ncts,0,tjtm
299,0,ncpr,0,tjjs
300,0,ncwt,0,tjzz
301,0,nccn,0,tjtd
302,0,ncdn,0,tjzw
303,0,tmcm,0,tjtt
304,0,tmjk,0,tjjr
305,0,tmcd,0,tjjm
306,0,tmct,0,tjjd
307,0,tmdc,0,tjtj
308,0,tmjc,0,tjtz
309,0,tmwc,0,tjjt
310,0,tmwk,0,tjjp
311,0,tmcs,0,tjjn
312,0,tmcn,0,tjzp
313,0,0,0,tjjw
314,0,0,0,tjjz
315,0,0,0,tjts
316,0,0,0,ppps
317,0,0,0,pppt
318,0,0,0,ppmp
319,0,0,0,ppmw
320,0,0,0,ppmn
321,0,0,0,ppdm
322,0,0,0,pppp
323,0,0,0,pppn
324,0,0,0,ppms
325,0,0,0,pppm
326,0,0,0,ppdj
327,0,0,0,pppr
328,0,0,0,ppdn
329,0,0,0,sjtp
330,0,0,0,sjtm
331,0,0,0,sjjs
332,0,0,0,sjzz
333,0,0,0,sjtd
334,0,0,0,sjzw
335,0,0,0,sjtt
336,0,0,0,sjjr
337,0,0,0,sjjm
338,0,0,0,sjjd
339,0,0,0,sjtj
340,0,0,0,sjtz
341,0,0,0,sjjt
342,0,0,0,sjjp
343,0,0,0,sjjn
344,0,0,0,sjzp
345,0,0,0,sjjw
346,0,0,0,sjjz
347,0,0,0,sjts
348,0,0,0,jwww
349,0,0,0,jwjs
350,0,0,0,jwmp
351,0,0,0,jwmw
352,0,0,0,jwws
353,0,0,0,jwmn
354,0,0,0,jwjr
355,0,0,0,jwjm
356,0,0,0,jwwr
357,0,0,0,jwwd
358,0,0,0,jwjd
359,0,0,0,jwjt
360,0,0,0,jwms
361,0,0,0,jwjp
362,0,0,0,jwjn
363,0,0,0,jwjw
364,0,0,0,jwjz
365,0,0,0,jwwt
366,0,0,0,mjtp
367,0,0,0,mjtm
368,0,0,0,mjjs
369,0,0,0,mjzz
370,0,0,0,mjtd
371,0,0,0,mjzw
372,0,0,0,mjtt
373,0,0,0,mjjr
374,0,0,0,mjjm
375,0,0,0,mjjd
376,0,0,0,mjtj
377,0,0,0,mjtz
378,0,0,0,mjjt
379,0,0,0,mjjp
380,0,0,0,mjjn
381,0,0,0,mjzp
382,0,0,0,mjjw
383,0,0,0,mjjz
384,0,0,0,mjts
385,0,0,0,pmww
386,0,0,0,pmjs
387,0,0,0,pmmp
388,0,0,0,pmmw
389,0,0,0,pmws
390,0,0,0,pmmn
391,0,0,0,pmjr
392,0,0,0,pmjm
393,0,0,0,pmwr
394,0,0,0,pmdm
395,0,0,0,pmwd
396,0,0,0,pmjd
397,0,0,0,pmjt
398,0,0,0,pmms
399,0,0,0,pmjp
400,0,0,0,pmjn
401,0,0,0,pmjw
402,0,0,0,pmdj
403,0,0,0,pmjz
